,Model,MSE,MAE,R-squared
0,DistilBERT Regressor,307.2757910782394,13.497813119262116,-0.10651815316185198
1,Linear Regression,4906582.715902352,1868.4850865386413,-17667.892255015722
2,Random Forest,315.1672207330451,13.684059251206785,-0.13493565438055
